iter	Passed	Remaining
247	5483	16626
248	5502	16594
249	5522	16566
250	5543	16541
251	5564	16516
252	5585	16491
253	5607	16469
254	5629	16448
255	5654	16433
256	5675	16407
257	5694	16376
258	5717	16358
259	5738	16333
260	5760	16309
261	5782	16288
262	5803	16263
263	5822	16233
264	5844	16210
265	5863	16180
266	5884	16156
267	5905	16129
268	5926	16104
269	5945	16074
270	5967	16051
271	5988	16026
272	6010	16005
273	6034	15989
274	6056	15967
275	6076	15940
276	6097	15914
277	6119	15893
278	6139	15866
279	6159	15839
280	6186	15829
281	6207	15805
282	6232	15789
283	6254	15768
284	6274	15741
285	6295	15717
286	6316	15692
287	6342	15681
288	6364	15658
289	6386	15635
290	6408	15613
291	6431	15594
292	6451	15567
293	6473	15545
294	6495	15523
295	6516	15498
296	6541	15483
297	6562	15459
298	6581	15429
299	6602	15406
300	6626	15388
301	6648	15365
302	6669	15340
303	6692	15322
304	6712	15296
305	6734	15273
306	6756	15252
307	6777	15227
308	6799	15205
309	6827	15196
310	6854	15186
311	6878	15168
312	6898	15142
313	6918	15115
314	6940	15093
315	6960	15067
316	6982	15043
317	7003	15020
318	7025	14998
319	7049	14979
320	7090	14998
321	7113	14979
322	7133	14950
323	7155	14929
324	7177	14906
325	7196	14879
326	7218	14856
327	7238	14830
328	7280	14849
329	7302	14827
330	7326	14808
331	7348	14785
332	7370	14762
333	7392	14740
334	7413	14716
335	7435	14694
336	7456	14668
337	7476	14643
338	7496	14617
339	7514	14587
340	7538	14567
341	7560	14545
342	7583	14526
343	7604	14502
344	7626	14479
345	7646	14452
346	7669	14431
347	7690	14408
348	7712	14386
349	7737	14370
350	7759	14346
351	7782	14327
352	7804	14304
353	7825	14279
354	7846	14256
355	7867	14231
356	7886	14205
357	7909	14184
358	7931	14162
359	7952	14137
360	7972	14112
361	7992	14086
362	8015	14065
363	8037	14043
364	8057	14017
365	8075	13989
366	8097	13967
367	8119	13943
368	8141	13921
369	8163	13899
370	8184	13876
371	8204	13850
372	8224	13825
373	8247	13804
374	8266	13778
375	8289	13756
376	8311	13735
377	8336	13717
378	8357	13693
379	8376	13667
380	8397	13642
381	8419	13621
382	8460	13629
383	8485	13611
384	8504	13584
385	8526	13562
386	8547	13539
387	8567	13513
388	8589	13490
389	8611	13469
390	8631	13443
391	8654	13423
392	8676	13400
393	8697	13377
394	8719	13354
395	8741	13333
396	8764	13312
397	8785	13288
398	8807	13266
399	8827	13240
400	8846	13214
401	8866	13190
402	8887	13165
403	8909	13143
404	8930	13119
405	8950	13095
406	8973	13074
407	8995	13052
408	9020	13034
409	9044	13014
410	9065	12991
411	9089	12972
412	9110	12948
413	9131	12925
414	9154	12904
415	9175	12880
416	9196	12857
417	9217	12833
418	9238	12810
419	9260	12788
420	9285	12770
421	9306	12746
422	9329	12726
423	9349	12700
424	9371	12679
425	9390	12652
426	9408	12626
427	9431	12604
428	9452	12580
429	9473	12558
430	9494	12534
431	9515	12510
432	9537	12489
433	9559	12466
434	9577	12440
435	9599	12417
436	9619	12393
437	9640	12369
438	9682	12373
439	9705	12352
440	9723	12325
441	9743	12300
442	9762	12274
443	9783	12251
444	9803	12227
445	9822	12200
446	9843	12178
447	9866	12157
448	9888	12134
449	9909	12112
450	9931	12089
451	9953	12067
452	9974	12043
453	9994	12019
454	10017	11999
455	10040	11978
456	10065	11959
457	10087	11937
458	10109	11915
459	10130	11892
460	10153	11871
461	10172	11846
462	10195	11824
463	10217	11803
464	10238	11780
465	10261	11758
466	10283	11736
467	10312	11723
468	10332	11698
469	10356	11678
470	10379	11657
471	10401	11635
472	10422	11612
473	10444	11590
474	10465	11567
475	10487	11545
476	10511	11524
477	10532	11501
478	10552	11478
479	10574	11455
480	10593	11430
481	10611	11404
482	10633	11382
483	10653	11357
484	10672	11332
485	10695	11311
486	10716	11289
487	10738	11266
488	10760	11244
489	10783	11223
490	10813	11209
491	10838	11191
492	10862	11171
493	10885	11149
494	10906	11127
495	10927	11104
496	10948	11080
497	10968	11056
498	10992	11036
499	11014	11014
500	11038	10994
501	11059	10971
502	11082	10949
503	11105	10928
504	11126	10906
505	11147	10882
506	11169	10861
507	11190	10838
508	11211	10814
509	11231	10791
510	11254	10770
511	11276	10747
512	11304	10731
513	11327	10710
514	11346	10685
515	11367	10662
516	11389	10640
517	11411	10618
518	11431	10594
519	11454	10573
520	11475	10550
521	11498	10529
522	11517	10504
523	11538	10481
524	11559	10458
525	11579	10434
526	11603	10414
527	11626	10393
528	11646	10369
529	11669	10348
530	11688	10323
531	11710	10301
532	11729	10277
533	11750	10254
534	11771	10231
535	11791	10207
536	11812	10185
537	11834	10162
538	11855	10139
539	11876	10117
540	11899	10095
541	11920	10072
542	11940	10049
543	11962	10027
544	11982	10003
545	12005	9982
546	12026	9960
547	12075	9960
548	12096	9937
549	12116	9913
550	12137	9890
551	12158	9867
552	12181	9846
553	12202	9823
554	12224	9801
555	12246	9779
556	12265	9755
557	12289	9734
558	12313	9713
559	12336	9692
560	12356	9669
561	12379	9648
562	12400	9624
563	12421	9602
564	12444	9581
565	12465	9558
566	12485	9534
567	12507	9513
568	12529	9490
569	12550	9467
570	12571	9445
571	12593	9423
572	12615	9401
573	12636	9378
574	12655	9354
575	12679	9333
576	12699	9310
577	12719	9286
578	12741	9264
579	12762	9241
580	12784	9219
581	12806	9198
582	12827	9174
583	12848	9152
584	12866	9127
585	12889	9106
586	12912	9084
587	12933	9062
588	12957	9041
589	12979	9019
590	13001	8997
591	13020	8973
592	13042	8951
593	13064	8929
594	13084	8906
595	13107	8885
596	13128	8862
597	13149	8839
598	13172	8818
599	13193	8795
600	13212	8771
601	13233	8748
602	13255	8726
603	13283	8708
604	13309	8689
605	13334	8669
606	13357	8647
607	13379	8626
608	13404	8606
609	13427	8584
610	13449	8562
611	13471	8540
612	13493	8518
613	13513	8495
614	13535	8473
615	13557	8451
616	13578	8429
617	13602	8408
618	13625	8386
619	13650	8366
620	13676	8346
621	13699	8325
622	13723	8304
623	13744	8281
624	13767	8260
625	13790	8238
626	13812	8217
627	13837	8196
628	13860	8175
629	13883	8153
630	13903	8130
631	13924	8108
632	13948	8087
633	13970	8065
634	13993	8043
635	14016	8021
636	14037	7999
637	14060	7977
638	14083	7956
639	14105	7934
640	14129	7913
641	14150	7890
642	14169	7866
643	14189	7843
644	14212	7822
645	14233	7799
646	14254	7777
647	14280	7757
648	14300	7734
649	14321	7711
650	14344	7690
651	14368	7668
652	14390	7647
653	14412	7625
654	14433	7602
655	14453	7579
656	14476	7557
657	14498	7535
658	14518	7512
659	14543	7492
660	14565	7469
661	14587	7447
662	14608	7425
663	14629	7403
664	14652	7381
665	14674	7359
666	14695	7336
667	14714	7313
668	14736	7290
669	14760	7270
670	14788	7251
671	14815	7231
672	14837	7209
673	14859	7187
674	14881	7165
675	14901	7142
676	14924	7120
677	14946	7098
678	14967	7075
679	14989	7053
680	15010	7031
681	15029	7007
682	15051	6985
683	15074	6964
684	15092	6940
685	15114	6918
686	15135	6895
687	15155	6872
688	15177	6850
689	15197	6827
690	15218	6805
691	15240	6783
692	15262	6761
693	15287	6740
694	15306	6717
695	15327	6694
696	15348	6672
697	15372	6651
698	15393	6628
699	15414	6606
700	15436	6584
701	15458	6562
702	15480	6540
703	15503	6518
704	15523	6495
705	15545	6473
706	15568	6452
707	15590	6429
708	15611	6407
709	15633	6385
710	15652	6362
711	15672	6339
712	15691	6316
713	15711	6293
714	15734	6271
715	15755	6249
716	15799	6236
717	15822	6214
718	15840	6190
719	15860	6168
720	15882	6146
721	15904	6123
722	15924	6101
723	15947	6079
724	15967	6056
725	15988	6034
726	16010	6012
727	16036	5991
728	16057	5969
729	16076	5946
730	16099	5924
731	16125	5903
732	16148	5882
733	16170	5860
734	16191	5837
735	16214	5816
736	16234	5793
737	16259	5772
738	16281	5750
739	16302	5727
740	16323	5705
741	16347	5684
742	16367	5661
743	16392	5640
744	16413	5617
745	16433	5595
746	16456	5573
747	16478	5551
748	16501	5529
749	16523	5507
750	16543	5484
751	16563	5462
752	16583	5439
753	16603	5416
754	16625	5395
755	16648	5373
756	16669	5350
757	16690	5328
758	16712	5306
759	16733	5284
760	16756	5262
761	16776	5239
762	16796	5217
763	16816	5194
764	16837	5172
765	16860	5150
766	16879	5127
767	16901	5105
768	16924	5084
769	16943	5061
770	16966	5039
771	16993	5018
772	17017	4997
773	17039	4975
774	17061	4953
775	17084	4931
776	17107	4909
777	17128	4887
778	17150	4865
779	17172	4843
780	17193	4821
781	17214	4798
782	17238	4777
783	17262	4756
784	17284	4733
785	17306	4711
786	17327	4689
787	17348	4667
788	17370	4645
789	17390	4622
790	17414	4601
791	17436	4579
792	17458	4557
793	17479	4534
794	17501	4512
795	17524	4491
796	17544	4468
797	17564	4446
798	17587	4424
799	17609	4402
800	17634	4380
801	17654	4358
802	17675	4336
803	17697	4314
804	17720	4292
805	17739	4269
806	17759	4247
807	17780	4225
808	17801	4202
809	17822	4180
810	17844	4158
811	17867	4136
812	17889	4114
813	17911	4092
814	17934	4071
815	17955	4048
816	17983	4028
817	18005	4006
818	18029	3984
819	18052	3962
820	18074	3940
821	18097	3918
822	18118	3896
823	18139	3874
824	18159	3851
825	18181	3829
826	18200	3807
827	18222	3785
828	18250	3764
829	18270	3742
830	18291	3719
831	18313	3697
832	18335	3675
833	18355	3653
834	18378	3631
835	18399	3609
836	18421	3587
837	18447	3566
838	18471	3544
839	18495	3523
840	18521	3501
841	18549	3480
842	18572	3458
843	18598	3437
844	18619	3415
845	18643	3393
846	18664	3371
847	18685	3349
848	18706	3327
849	18729	3305
850	18757	3284
851	18780	3262
852	18805	3240
853	18829	3219
854	18852	3197
855	18878	3175
856	18902	3154
857	18981	3141
858	19010	3120
859	19043	3100
860	19064	3077
861	19085	3055
862	19107	3033
863	19129	3011
864	19150	2988
865	19173	2966
866	19191	2943
867	19210	2921
868	19239	2900
869	19261	2878
870	19283	2855
871	19305	2833
872	19327	2811
873	19348	2789
874	19367	2766
875	19388	2744
876	19410	2722
877	19431	2700
878	19456	2678
879	19477	2656
880	19498	2633
881	19527	2612
882	19552	2590
883	19575	2568
884	19596	2546
885	19621	2524
886	19645	2502
887	19671	2481
888	19693	2458
889	19715	2436
890	19739	2414
891	19762	2392
892	19787	2371
893	19809	2348
894	19832	2326
895	19856	2304
896	19879	2282
897	19902	2260
898	19923	2238
899	19943	2215
900	19966	2193
901	19987	2171
902	20009	2149
903	20032	2127
904	20054	2105
905	20073	2082
906	20095	2060
907	20118	2038
908	20145	2016
909	20172	1995
910	20199	1973
911	20232	1952
912	20263	1930
913	20290	1909
914	20318	1887
915	20347	1865
916	20374	1844
917	20401	1822
918	20428	1800
919	20456	1778
920	20483	1757
921	20509	1735
922	20535	1713
923	20565	1691
924	20586	1669
925	20610	1647
926	20631	1624
927	20654	1602
928	20677	1580
929	20698	1557
930	20721	1535
931	20742	1513
932	20766	1491
933	20786	1468
934	20811	1446
935	20832	1424
936	20856	1402
937	20879	1380
938	20901	1357
939	20925	1335
940	20970	1314
941	20997	1292
942	21020	1270
943	21046	1248
944	21068	1226
945	21093	1204
946	21114	1181
947	21136	1159
948	21160	1137
949	21181	1114
950	21207	1092
951	21231	1070
952	21253	1048
953	21276	1025
954	21297	1003
955	21320	981
956	21343	959
957	21364	936
958	21389	914
959	21414	892
960	21440	870
961	21465	847
962	21492	825
963	21519	803
964	21543	781
965	21565	759
966	21588	736
967	21611	714
968	21639	692
969	21664	670
970	21690	647
971	21717	625
972	21742	603
973	21773	581
974	21806	559
975	21837	536
976	21871	514
977	21904	492
978	21935	470
979	21960	448
980	21986	425
981	22013	403
982	22040	381
983	22062	358
984	22086	336
985	22109	313
986	22133	291
987	22154	269
988	22182	246
989	22209	224
990	22235	201
991	22257	179
992	22283	157
993	22305	134
994	22323	112
995	22347	89
996	22367	67
997	22389	44
998	22412	22
999	22433	0
