iter	Logloss
156	0.2556679106
157	0.2555354194
158	0.2554369831
159	0.2552570048
160	0.2551206851
161	0.2550374183
162	0.2549097513
163	0.2547879207
164	0.254688984
165	0.2545804611
166	0.2544508653
167	0.2542641313
168	0.2541792256
169	0.2540527128
170	0.2539437835
171	0.2538537134
172	0.2537560977
173	0.2536192253
174	0.2534465762
175	0.2533171735
176	0.253237001
177	0.2531354435
178	0.2530133278
179	0.2528734596
180	0.2527192064
181	0.2526661086
182	0.252568939
183	0.2524718495
184	0.2523686625
185	0.2522471936
186	0.2521447024
187	0.2520170841
188	0.2519116796
189	0.2517853481
190	0.2516648712
191	0.2515693582
192	0.251462491
193	0.2513233431
194	0.2512325307
195	0.2511456344
196	0.2510309547
197	0.2508716871
198	0.2507172566
199	0.2506218234
200	0.2505109028
201	0.2504043569
202	0.2502826494
203	0.2502065067
204	0.2501018506
205	0.2499579342
206	0.2498529952
207	0.2497068519
208	0.2495712813
209	0.2494530532
210	0.2493758466
211	0.2492597383
212	0.249056023
213	0.2489311414
214	0.2487939314
215	0.2486745001
216	0.2485740363
217	0.2484395765
218	0.2482310618
219	0.2480872135
220	0.2479898996
221	0.2478616174
222	0.247624609
223	0.2474975566
224	0.2472574383
225	0.2471376463
226	0.2469867262
227	0.2468721346
228	0.2467448864
229	0.246625937
230	0.2464941195
231	0.2463015554
232	0.2461659767
233	0.2460359165
234	0.2459490708
235	0.2458493642
236	0.2457251174
237	0.2455262601
238	0.245383787
239	0.2452376462
240	0.2451139543
241	0.2449687518
242	0.2449131143
243	0.2448384123
244	0.2447310997
245	0.2445577816
246	0.2444490928
247	0.2443475975
248	0.2442858925
249	0.2441747562
250	0.2440342152
251	0.2439167311
252	0.2438041159
253	0.2436424587
254	0.2434913587
255	0.2432781145
256	0.2431708622
257	0.2430939568
258	0.2429516899
259	0.2428226325
260	0.2426608674
261	0.2425323015
262	0.2424114186
263	0.2423060897
264	0.2421729597
265	0.24212565
266	0.2420189761
267	0.2419183469
268	0.2417803968
269	0.2416935018
270	0.2415431402
271	0.2413679286
272	0.2412564754
273	0.2411232604
274	0.2410089374
275	0.2408742947
276	0.2408062521
277	0.2407082665
278	0.240590741
279	0.2405467678
280	0.2404174891
281	0.2402788647
282	0.2401628393
283	0.2400231802
284	0.2399290511
285	0.2398275164
286	0.2397339731
287	0.2396177366
288	0.2395181833
289	0.2394059806
290	0.2392681468
291	0.2391335158
292	0.2390128021
293	0.2388714207
294	0.2387380997
295	0.2385558824
296	0.2384242895
297	0.2383162111
298	0.2382820181
299	0.2381723694
300	0.2380215557
301	0.2378972119
302	0.2377439053
303	0.237620579
304	0.237507874
305	0.2374023461
306	0.2372794291
307	0.2371591934
308	0.2370477463
309	0.2369205134
310	0.2367918633
311	0.2366670169
312	0.2365991806
313	0.2365063155
314	0.2363692036
315	0.2362585629
316	0.2361182369
317	0.2360226878
318	0.2359037812
319	0.2357577648
320	0.2356410427
321	0.2355453793
322	0.2354482755
323	0.2353052193
324	0.2351553187
325	0.2350459144
326	0.2349301489
327	0.2348380419
328	0.2347370613
329	0.2346487777
330	0.2345362613
331	0.2344439794
332	0.2343778189
333	0.2342547512
334	0.2341489116
335	0.2340421948
336	0.2339144744
337	0.2337986684
338	0.2337084989
339	0.2336740649
340	0.2335602598
341	0.2334491353
342	0.2333370671
343	0.2332451816
344	0.2330766497
345	0.2329870102
346	0.232898477
347	0.2327620883
348	0.2327022697
349	0.2326192372
350	0.2325248377
351	0.2324088454
352	0.2322851037
353	0.2321980165
354	0.2320976604
355	0.2319989553
356	0.2319064194
357	0.2317956199
358	0.231747289
359	0.2316390446
360	0.2315191883
361	0.2314285846
362	0.231328947
363	0.2312061037
364	0.2311145397
365	0.2310867186
366	0.2310048562
367	0.2309030695
368	0.2308091912
369	0.2307121147
370	0.2306190641
371	0.2305275616
372	0.2304380234
373	0.230350784
374	0.2302735091
375	0.2301799252
376	0.2301068322
377	0.2299979413
378	0.2299023339
379	0.2298843518
380	0.2297915711
381	0.2296578368
382	0.2295772396
383	0.2294798437
384	0.2293588127
385	0.2292597996
386	0.2291605004
387	0.2290856859
388	0.2289760722
389	0.2288350987
390	0.2287582078
391	0.2285895946
392	0.2284694898
393	0.2283795957
394	0.2282597659
395	0.2281174306
396	0.228016527
397	0.227917897
398	0.2278071197
399	0.2277535582
400	0.227712495
401	0.2276008873
402	0.2275137239
403	0.2274087135
404	0.2273143555
405	0.22722281
406	0.2271474505
407	0.2270265984
408	0.2269037416
409	0.2267956311
410	0.2267052223
411	0.2266000167
412	0.2265185502
413	0.2264397823
414	0.2263364142
415	0.2262409371
416	0.2261180393
417	0.2260356185
418	0.2259561769
419	0.2258101595
420	0.22570777
421	0.2256634815
422	0.2255535568
423	0.2254552666
424	0.2253402463
425	0.2252716872
426	0.2252306765
427	0.2251122978
428	0.2250216788
429	0.2249162118
430	0.2248288488
431	0.2247404251
432	0.2246253023
433	0.2245051962
434	0.2244397178
435	0.2243531467
436	0.2242872305
437	0.2241861431
438	0.2240675499
439	0.2239820273
440	0.2239107441
441	0.2238144913
442	0.2237298432
443	0.2236615542
444	0.2235675325
445	0.223514909
446	0.2234035593
447	0.2232786697
448	0.2231660663
449	0.2230639839
450	0.2229816587
451	0.2228760841
452	0.2227591479
453	0.2226647323
454	0.222543707
455	0.22242308
456	0.2223300984
457	0.2222523364
458	0.2221713782
459	0.222076771
460	0.2219724421
461	0.2219170754
462	0.2218069368
463	0.2216880673
464	0.2215855624
465	0.2214986496
466	0.2213885968
467	0.2212647931
468	0.2211904747
469	0.2211455886
470	0.2210461291
471	0.2209416149
472	0.2208580421
473	0.2207637753
474	0.2206672789
475	0.2205772834
476	0.2204779473
477	0.2203975698
478	0.2202974526
479	0.2202154453
480	0.2201574459
481	0.2200822062
482	0.2199677332
483	0.2199148166
484	0.2198684336
485	0.2197870438
486	0.2196966114
487	0.2196304316
488	0.2195672121
489	0.2194550311
490	0.2193524526
491	0.219258603
492	0.2191580219
493	0.2190549479
494	0.2189940632
495	0.2189133663
496	0.2188152341
497	0.2187512294
498	0.218660707
499	0.2185362029
500	0.2184563567
501	0.2183427948
502	0.2182657262
503	0.218172279
504	0.2180832989
505	0.2180014435
506	0.2179065945
507	0.2178068278
508	0.2177311106
509	0.2176443453
510	0.2175716161
511	0.2174615597
512	0.217367677
513	0.2172573887
514	0.2172223301
515	0.2171380294
516	0.217052292
517	0.2169590626
518	0.2169078063
519	0.2168014056
520	0.2167367623
521	0.2166446825
522	0.2166226248
523	0.21654256
524	0.2164582902
525	0.2163866387
526	0.2162720628
527	0.2161939801
528	0.2161071902
529	0.216019672
530	0.215964375
531	0.2158706746
532	0.2157850958
533	0.2157069528
534	0.21563671
535	0.2155701122
536	0.2154627552
537	0.2153372527
538	0.2152453234
539	0.2151459295
540	0.2150482655
541	0.2149593895
542	0.2148750127
543	0.214785393
544	0.2147547014
545	0.2146575698
546	0.214573327
547	0.2144638962
548	0.2144490506
549	0.2143889262
550	0.2143094664
551	0.2142383731
552	0.2141279088
553	0.2140466689
554	0.2139439831
555	0.2138499762
556	0.2137661255
557	0.2136806126
558	0.2135857989
559	0.2135026362
560	0.2134020945
561	0.2133195027
562	0.2132544548
563	0.2131554003
564	0.2130644802
565	0.2129830125
566	0.2129204567
567	0.2128213816
568	0.2127209572
569	0.2126324193
570	0.2125768176
571	0.2124729211
572	0.2123784351
573	0.2123038323
574	0.2122403284
575	0.2121520422
576	0.2120654601
577	0.2119869581
578	0.2119001948
579	0.2118340425
580	0.2117619294
581	0.211666406
582	0.2115818065
583	0.211499828
584	0.2114446683
585	0.2113691147
586	0.2112692968
587	0.2111609597
588	0.2110917831
589	0.2109852804
590	0.2109091404
591	0.2108672282
592	0.2107821472
593	0.2107276617
594	0.2106394214
595	0.2105263141
596	0.2104477984
597	0.2103922503
598	0.2103208288
599	0.2102426133
600	0.2101965414
601	0.2101178033
602	0.2100657096
603	0.2099852732
604	0.2099082704
605	0.2098189774
606	0.2097522662
607	0.2096747984
608	0.2096030836
609	0.2095091831
610	0.2094269166
611	0.2093428731
612	0.2092689733
613	0.2092248496
614	0.2091355017
615	0.2090314664
616	0.2089520854
617	0.208851389
618	0.2087699646
619	0.2086912321
620	0.2085844915
621	0.2085290881
622	0.2084544443
623	0.2083700477
624	0.2083287765
625	0.2082569286
626	0.2081679441
627	0.2080813377
628	0.2079830376
629	0.2079221605
630	0.2078349243
631	0.2077546758
632	0.2076664246
633	0.2075767263
634	0.2074815178
635	0.2073885694
636	0.2073132351
637	0.2072357006
638	0.2071425868
639	0.2070421961
640	0.2069642723
641	0.2068752533
642	0.2068146464
643	0.2067397927
644	0.2066344187
645	0.2065482333
646	0.2064566162
647	0.2063910202
648	0.2063187824
649	0.20626447
650	0.2061736233
651	0.2060940467
652	0.2060046813
653	0.2059348602
654	0.2058738344
655	0.2057980687
656	0.2057219906
657	0.2056439827
658	0.2055738324
659	0.2054929049
660	0.2054177806
661	0.2053365036
662	0.205265675
663	0.2051768037
664	0.2050946303
665	0.2049969037
666	0.2049473568
667	0.2049017455
668	0.2048105303
669	0.2047335012
670	0.2046480653
671	0.2045347053
672	0.2044616262
673	0.2043617075
674	0.2042768212
675	0.2042178868
676	0.2041008694
677	0.2040203447
678	0.2039639792
679	0.2038866783
680	0.2037989209
681	0.2037648901
682	0.2037044765
683	0.2036267763
684	0.2035970355
685	0.2035046862
686	0.2034400227
687	0.2033630702
688	0.2032679195
689	0.2032139083
690	0.2031310311
691	0.2030524863
692	0.2030134567
693	0.2029519555
694	0.2028846778
695	0.2028087295
696	0.2027422953
697	0.2026672578
698	0.2025906116
699	0.2024961042
700	0.202429835
701	0.2023515444
702	0.2022749585
703	0.2021818986
704	0.2021215475
705	0.2020262917
706	0.2019509207
707	0.2018602365
708	0.2017764662
709	0.2016974492
710	0.2016639138
711	0.2016133601
712	0.201544376
713	0.2014808847
714	0.2014042171
715	0.2013123379
716	0.2012255164
717	0.2011423177
718	0.2010860651
719	0.2009966581
720	0.2009126638
721	0.2008181036
722	0.2007310244
723	0.2006592584
724	0.200601379
725	0.2005038993
726	0.200424414
727	0.2003478863
728	0.2003049498
729	0.2002574726
730	0.20016784
731	0.2000877207
732	0.1999952647
733	0.1999204261
734	0.199847782
735	0.1997495434
736	0.1996776543
737	0.1996424307
738	0.1995714049
739	0.1995060554
740	0.1994130783
741	0.1993324473
742	0.199250548
743	0.1991716217
744	0.1991151047
745	0.1990542613
746	0.1989698647
747	0.1988798835
748	0.198787793
749	0.198714404
750	0.1986682846
751	0.198597276
752	0.1985396909
753	0.1984443547
754	0.1983716772
755	0.1982715718
756	0.1981889694
757	0.1981183624
758	0.1980454711
759	0.1979534635
760	0.1978792994
761	0.1978546139
762	0.1978030613
763	0.1977351072
764	0.1976686631
765	0.197622377
766	0.1975686686
767	0.1974674616
768	0.1973875612
769	0.1973370388
770	0.1972442245
771	0.1971743799
772	0.1971170585
773	0.197049876
774	0.196985438
775	0.1969055395
776	0.1968382383
777	0.1967402197
778	0.1966864737
779	0.1966153603
780	0.1965459377
781	0.1964763118
782	0.1964077347
783	0.1963589887
784	0.1962769964
785	0.1962294164
786	0.1961414042
787	0.1960541691
788	0.1959707922
789	0.1959057391
790	0.1958639919
791	0.1958052301
792	0.1957410798
793	0.1956553199
794	0.1955806356
795	0.1955105687
796	0.1954606993
797	0.1953768626
798	0.1952836944
799	0.195205372
800	0.1951583702
801	0.1950948284
802	0.1950236315
803	0.1949393666
804	0.1948690057
805	0.1948278231
806	0.1947582911
807	0.1946711005
808	0.1945826763
809	0.1945047659
810	0.1944278277
811	0.1943715163
812	0.1942712303
813	0.1941791013
814	0.1941007963
815	0.1940609959
816	0.1939928187
817	0.1939111776
818	0.1938527327
819	0.1937829241
820	0.1937102015
821	0.1936529109
822	0.1935653337
823	0.1934918208
824	0.1934437169
825	0.1933665981
826	0.1933361466
827	0.1932830007
828	0.1932165449
829	0.1931508413
830	0.1930796111
831	0.1930252431
832	0.1929544106
833	0.1928864372
834	0.1928049057
835	0.1927438667
836	0.1926551492
837	0.1925901085
838	0.1925245904
839	0.1924903571
840	0.1924154358
841	0.1923531509
842	0.1922654597
843	0.1921972404
844	0.1921285612
845	0.1920445866
846	0.1919791511
847	0.1919084353
848	0.1918434459
849	0.1917690348
850	0.1916825835
851	0.1916319832
852	0.1915615091
853	0.1914832588
854	0.1914209679
855	0.1913455084
856	0.1912652669
857	0.1911831934
858	0.1911191126
859	0.1910535297
860	0.1910121853
861	0.1909416804
862	0.1908851228
863	0.1908108255
864	0.1907576516
865	0.1906892104
866	0.1906583945
867	0.1906145409
868	0.190527538
869	0.1904559051
870	0.1903858749
871	0.19032059
872	0.1902494794
873	0.1901744992
874	0.190157963
875	0.1901285768
876	0.1900508309
877	0.1899885672
878	0.1899190104
879	0.189824407
880	0.1897532293
881	0.1896745186
882	0.1896204816
883	0.1895509355
884	0.1895067183
885	0.1894584958
886	0.1893863704
887	0.1893163775
888	0.1892292296
889	0.1891850557
890	0.1891364861
891	0.1890637524
892	0.1889921446
893	0.1889367
894	0.1888747257
895	0.1888034288
896	0.1887220965
897	0.1886428231
898	0.18855891
899	0.1885160163
900	0.1884526459
901	0.1883858027
902	0.1883368813
903	0.1882645741
904	0.1881756695
905	0.1881377902
906	0.1880426839
907	0.1879737389
908	0.1879167522
909	0.1878573642
910	0.1877826504
911	0.1877218068
912	0.187638328
913	0.187566174
914	0.1874858249
915	0.187413164
916	0.1873262518
917	0.1872690453
918	0.1872155176
919	0.1871324291
920	0.1870646604
921	0.1870263504
922	0.1869850643
923	0.1869050877
924	0.1869012921
925	0.1868568855
926	0.1868093064
927	0.1867462957
928	0.1866935026
929	0.1866368671
930	0.1865815334
931	0.1865057734
932	0.1864413633
933	0.1863964303
934	0.1863415648
935	0.1862887995
936	0.1862184476
937	0.1861649294
938	0.1860910707
939	0.1860302922
940	0.1859504648
941	0.185898993
942	0.1858463393
943	0.1857911125
944	0.1857220055
945	0.185678273
946	0.1855798742
947	0.1855219713
948	0.185466495
949	0.1854213645
950	0.1853335559
951	0.1852758973
952	0.1851993827
953	0.1851320778
954	0.1850492255
955	0.1849856343
956	0.1848993064
957	0.1848235586
958	0.1847362467
959	0.1846731865
960	0.1846154777
961	0.1845526979
962	0.1844761801
963	0.1844312368
964	0.1843746697
965	0.1842977025
966	0.1842425826
967	0.1841874021
968	0.1841099578
969	0.1840417545
970	0.1839971484
971	0.1839465132
972	0.1838921313
973	0.1838190875
974	0.1837306356
975	0.1836605943
976	0.1835950156
977	0.1835268142
978	0.183458108
979	0.1834030404
980	0.1833414586
981	0.1832699769
982	0.1832102202
983	0.1831567638
984	0.1831165537
985	0.1830590619
986	0.1830032008
987	0.1829224406
988	0.1828577839
989	0.1828294067
990	0.1827731401
991	0.1827119551
992	0.1826551032
993	0.1825857759
994	0.1825579849
995	0.182506338
996	0.1824444327
997	0.1823865662
998	0.1823059737
999	0.1822402614
